Accession	# AAs	Abundance: 40: Sample	Abundance: 41: Sample	Abundance: 42: Sample	Abundance: 43: Sample	Abundance: 61: Sample	Abundance: 62: Sample	Abundance: 63: Sample	COG Functional Category	seed ortholog evalue	Predicted taxonomic group
3.contigs_17742213_1	271	287467287.633789	54435605.8269043	134988155.256836	122074863.578125	100144896.746094	224489154.435547	570420257.398438	Z	3.9e-129	Rhabditida
1.contigs_586042_1	894	428530388.375	40432345.6796875	8504496.22265625	6067171.90625	1562404.7265625	2165439.609375	2057909.40234375	GH	0	Pleurocapsales
2.contigs_8950628_1	580	5173875.625	2458406.26171875	269054980.089844	241854239.595703	1241205.046875	167816596.542969	113031607.816406	EO	3.9e-187	Chlorophyta
1.contigs_5584245_2	164	423265321.462402	556106773.494141	552924768.765625	1769557352.88354	302492011.019531	202782104.554688	111263123.023438	U	1.2e-67	Oscillatoriales
2.contigs_398798_8	305	10321678.625	6486911.40234375	128751423.65625	140120691.96875	2051804.4375	161046741.367188	88578593.2070313	E	4.5e-134	Chlorophyta
2.contigs_11797165_1	280	136707405.265625	26357349.4375	9422562.328125	6147725.6640625	7192801.3046875	3819907.2578125	4429681.46289063	Z	3.2e-94	Metazoa
2.contigs_11023035_3	727	8291910.875	2601115.734375	86391274.5859375	94606614.390625	2463249.8046875	45190600.9921875	33528487.84375	G	8.2e-299	Chlorophyta
2.contigs_636754_9	366	4116299.3828125	2224672.1484375	164885902.578125	250750404.59375	2594831.875	308264689.40625	188241080.820313	C	7.1e-166	Viridiplantae
2.contigs_2897019_5	164	99083612.5234375	197579245.601563	377410796.109375	1028663337.71875	107389522.558594	47957364.0195313	31748739.125	C	1.5e-67	Cyanobacteria
1.contigs_2837615_1	1018	400402704.5625	68768764	6528069.34375	3453137.0546875	1268014.0546875	2722095.59765625	1611759.19335938	Q	1.6e-119	Synechococcus
2.contigs_12223397_2	503	761882774.25	212620047.34375	55304714.6367188	57672446.4296875	18018481.7695313	24326698.2910156	10052123.7011719	C	1.6e-237	Oscillatoriales
4.contigs_4247166_1	1157	4576622.51757813	1891690.40625	231717653.5	161061996.322266	1139518.546875	206136476.464844	121952414.349609	NA	7.5e-105	Eukaryota
2.contigs_3029212_7	362	8516338.875	3251199.5625	99008228.40625	164063297.921875	869731.482421875	202167703.9375	135419641.117188	G	2.2e-156	Chlorophyta
1.contigs_4940988_1	501	113505579.304688	711542131.640625	7102684.6171875	18129855.15625	45406531.1484375	1470959.31640625	1905483.35546875	C	1e-263	Eukaryota
2.contigs_1905090_3	221	17095582.4296875	4700117.34375	370806100.804688	555649441.820313	2211980.87109375	646875193.560547	356844705.375	C	2.7e-67	Chlorophyta
2.contigs_5988542_15	379	9902566.58203125	1319181.4453125	200898422.3125	309715765.050781	540164.375	387236306.15625	177779861.419922	O	2.5e-89	Chlorophyta
4.contigs_852311_7	139	2557876.15625	3868708.265625	301241412.085938	611548725.78125	1617270.83984375	298776506.398438	187617890.074219	E	1.2e-44	Chlorophyta
1.contigs_2584201_2	399	401863401.46875	63812872.125	8505608.953125	8558738.125	18402899.796875	10197421.4804688	4420828.70898438	G	2.9e-213	Pleurocapsales
2.contigs_3804650_7	317	2860615.96875	2159709.6796875	148722017.402344	278853601.210938	2872961.9375	336190899.453125	174610106.726563	C	5.3e-109	Poales
2.contigs_7614089_1	431	413118716.4375	150677373.34375	85047209.2890625	121585229.0625	79494266.8984375	79812403.734375	54878802.6640625	C	3.1e-213	Bacillariophyta
1.contigs_2757622_17	510	24107396.5625	63238582.8125	326811.2109375	122119.90625	2013057.3984375	264888.8125	NA	S	1e-308	Eukaryota
4.contigs_991664_14	298	5630432.6875	11850320.5996094	120805382.492188	229767299.199219	2313620.26171875	169820616.34375	95221279.7578125	G	5.4e-124	Chlorophyta
2.contigs_1077264_7	255	17948614.5546875	3435912.8671875	170981449.316406	176825067.15625	490157.1796875	212823160.675781	117605596.820313	G	1.2e-92	Chlorophyta
2.contigs_79953_2	666	4376064.3671875	2104658.74609375	243120387.890625	61001467.3046875	3283612.1328125	198516553.761719	131737971.181641	NA	4.6e-6	Gammaproteobacteria
1.contigs_200256_5	716	190727853.3125	45468933.8945313	1244354.578125	2518090.15625	1405028.7265625	1562296.44140625	1570640.734375	J	0	Pleurocapsales
2.contigs_3301050_2	374	1459085.3984375	596443.1875	67173119.7734375	124950021.9375	452194.7421875	53995351.546875	49136131.9648438	O	5.5e-166	Chlorophyta
2.contigs_644586_1	510	329355847.101563	540037163.671875	124273153.375	93047852.0625	112218669.15625	33990405.703125	18568088.1835938	P	8e-301	Bacillariophyta
1.contigs_1596762_4	484	428071370.03125	69704802.609375	6163640.04296875	8574665.015625	632193.9609375	1364104.2109375	601490.0546875	C	2.6e-256	Pleurocapsales
1.contigs_2325930_2	346	494189805.332031	68045421.7646484	6823006.88085938	5087547.11328125	3589545.9609375	1281363.40625	1191718.01757813	G	1.3e-177	Pleurocapsales
1.contigs_7607_2	491	767116421.539063	1115279679.30469	359194962.720703	784797283.871094	281992024.136719	107562055.316406	56512514.1289063	G	9.2e-254	Eukaryota
1.contigs_3179574_2	456	168533834.453125	114242561.5625	89077430.1796875	78804907.171875	157974828.80957	71204580.0078125	40094027.2055664	Z	9.6e-205	Bacillariophyta
4.contigs_1651696_2	647	57380595.40625	51237020.8671875	123316913.25	227970328.359375	20884167.046875	155989180.820313	77484336.640625	O	2.2e-295	Chlorophyta
4.contigs_6779620_1	776	136138517.5	24342784.2617188	2499858.1328125	2874865.265625	1067532.03515625	1250411.671875	1459061.33984375	G	0	Pleurocapsales
2.contigs_5806061_9	506	18620797.0976563	44655663.75	18321658.9609375	94083580.046875	3931686.390625	3130229.75	1888480.2109375	F	4.7e-237	Bacillariophyta
1.contigs_2851511_2	490	475289522.1875	784409724.34375	84123859.8691406	144404928.742188	135195848.6875	49586569.203125	28887530.5625	Q	5.7e-272	Bacillariophyta
4.contigs_7897407_5	239	6911722.20214844	17844416.8740234	344284275.058594	308819447.515625	3141429.49804688	269162266.554688	164608765.666016	E	9.2e-98	Chlorophyta
4.contigs_131185_1	678	20847761.4453125	16255998.4316406	45157398.8125	82168073.40625	12820200.3535156	51412028.7382813	31015490.9570313	J	0	Chlorophyta
4.contigs_8020948_1	489	580513125.021484	1869913223.75391	138330728.660156	208526191.644531	217415674.175781	101163074.027344	59784863.5996094	G	7.7e-285	Eukaryota
2.contigs_4762952_7	1055	37254860.7695313	6521464.765625	59991813.28125	63809800.171875	6698673.609375	52891957.125	28709380.1953125	O	0	Chlorophyta
3.contigs_2350121_1	509	218732008.140625	100992484.21875	29761849.1367188	67264638.0351563	51719757.03125	30651270.4746094	21027417.921875	F	5.1e-247	Bacillariophyta
2.contigs_246115_17	473	721070.5625	3746448.98828125	1443808.546875	3706012.234375	72954.77734375	527670.640625	NA	C	6.6e-241	Bacillariophyta
1.contigs_80821_42	164	845641229.537354	718632531.166016	476440529.347168	379642047.554688	348239581.244141	114466377.550781	58529080.2866211	U	1.2e-67	Oscillatoriales
1.contigs_1359496_6	285	290014587.78125	62976396.390625	1359910.4765625	2639731.203125	3579194.51953125	1876486.2109375	839262.9765625	U	2.2e-151	Pleurocapsales
4.contigs_1614344_1	361	865391129.5625	330029742.882813	291287929.546875	491594428.125	153624314.65625	190369542.28125	132317267.140625	F	1.5e-184	Cyanobacteria
2.contigs_554941_55	164	7020858.4375	7872816.79296875	16746553.5976563	162222214.453125	1077965.1484375	1097242.8515625	1454950.80273438	C	6.4e-66	Cyanobacteria
1.contigs_1142606_2	382	131439996.070313	108746436.960938	7605235.58007813	17149121.09375	11525588.7265625	15561424.3828125	5664277.46875	G	5.8e-195	Bacillariophyta
3.contigs_5849470_2	582	152214131.40625	26638565.984375	1593613.09179688	2347717.49609375	2316768.875	755709.232421875	367590.48046875	O	0	Pleurocapsales
1.contigs_660397_1	332	40593234.8984375	27156621.25	5417346.40234375	9499955.73828125	302887640.96875	57957534.7109375	18618597.1328125	P	1.2e-124	Alphaproteobacteria
4.contigs_4271229_1	431	433761.25	1357224.859375	NA	254973.375	680630.5625	311905.71875	88331.4453125	C	8.8e-208	Bacillariophyta
3.contigs_22078655_2	680	87816495.0625	22619307.71875	2370587.4140625	1882827.75	1650750.53125	4527686.2578125	1426839.15625	G	0	Pleurocapsales
1.contigs_187400_1	435	31482364.40625	52995485.171875	2496979.453125	797170.390625	745659.578125	1629205.484375	761919.56640625	G	7e-213	Bacillariophyta
2.contigs_3874081_1	475	NA	NA	NA	277229.40625	NA	NA	NA	C	1.6e-223	Bacillariophyta
1.contigs_1712885_1	200	747388440.0625	180641651.3125	6639891.546875	5667301.4140625	3200293.36328125	4082957.1171875	2120110.953125	O	2.3e-102	Pleurocapsales
4.contigs_1664348_1	582	446877.6875	404933.34375	56264353.859375	45254814.3125	208268.921875	30675813.6875	21078857.515625	EO	3.8e-214	Chlorophyta
3.contigs_6839479_6	457	106457166.46875	109036562.15625	6880583.3671875	11053961.6679688	9032088.4375	9995420.83984375	4472230.1796875	F	3.1e-219	Bacillariophyta
3.contigs_4240205_28	505	9676023.7421875	26229324.125	1244921.265625	1673633.015625	4219846.00976563	1681740.671875	599288	F	2.1e-237	Bacillariophyta
3.contigs_25744139_2	517	87375707.4921875	105078381.421875	50298556.5234375	50133550.21875	19461067.2148438	12331450.1015625	5833187.65820313	P	4e-284	Bacillariophyta
2.contigs_916951_40	455	357073.01171875	673875.625	270925.892578125	111779.1015625	838826.75	142211.484375	NA	P	5.5e-253	Bacillariophyta
4.contigs_69212_2	477	11989617.1484375	12695571.5351563	1140643.125	3695581.9375	3228020	5288240.75	4132185.21875	F	3.3e-224	Cyanobacteria
2.contigs_4292729_1	545	229011521.5	40198538.0625	2576496.65625	1258418.35546875	1608358.234375	2946390.01171875	886034.17578125	M	2.1e-235	Pleurocapsales
1.contigs_6149826_5	404	4907027.75	1190017.5	678260.5	178486.984375	989232.46875	NA	198573.53125	F	1.5e-185	Cyanobacteria
4.contigs_6256113_1	200	42891606.0390625	208591849.890625	3788741.22851563	6853009.72265625	6653347.96679688	816639.0703125	540908.703125	U	3.3e-101	Eukaryota
2.contigs_3391206_5	504	316576.62890625	2145013.19921875	40991389.09375	52840780.53125	986580.72265625	38720751.359375	25021153.4570313	O	2.1e-208	Chlorophyta
3.contigs_7547987_1	310	9369292.046875	22924321.203125	144900301.578125	149866921.375	986680.4140625	67944198.6523438	52761794.3984375	EO	5e-72	Chlorophyta
1.contigs_4729030_18	494	41755050	36396240.5	11714237.359375	15023782.0390625	11091690.59375	6373695.9296875	2480770.4921875	C	6.4e-255	Streptophyta
1.contigs_1023674_2	452	125585823.78125	29950864.40625	2573236.1484375	590069.203125	1362828.73828125	467694.15625	310142.78125	E	1.4e-232	Pleurocapsales
2.contigs_8341905_6	382	19755021.1796875	6814909.41699219	309043983.8125	378460569.320313	4481752.00390625	333294025.921875	211499629.34375	C	6.1e-120	asterids
3.contigs_8164342_3	696	98980658	45450104.4335938	8360883.859375	21250659.21875	36796760.484375	18152257.796875	9727393	G	0	Bacillariophyta
2.contigs_9434550_2	164	266998577.3125	58741155.5585938	373032001.90625	481842026.84375	10382599.46875	10169680.71875	10215761.1953125	U	4.2e-78	Cyanothece
2.contigs_1336235_3	630	3947037.59375	1820763.3671875	81737716.28125	68816758.390625	2057751.15625	68738118.8227539	45177003.5976563	G	7.4e-248	Chlorophyta
1.contigs_5996475_3	491	6110389.5	5126291.25	490213.2265625	NA	2899270.65625	202184.765625	958579.734375	C	4e-249	Bacillariophyta
1.contigs_1218180_2	144	856148518.703125	157034585.152344	8677610.1640625	25952822.2578125	1575723.03515625	4561586.61328125	2910952.21875	S	7.5e-71	Pleurocapsales
4.contigs_2793493_1	553	3893207.6875	2085241.546875	116053208.289063	79536919.75	2191789.6796875	89343674.03125	63600484.234375	NA	5.3e-24	Eukaryota
3.contigs_24167311_2	805	184561757.4375	48794559.65625	1472615.0625	751556.921875	2942435.609375	2537747.74609375	736527.583984375	G	0	Nostocales
1.contigs_2499971_2	673	62315132.15625	59641226.0703125	40789793.8154297	46889471.8930664	65868222.90625	31013713.765625	16292796.6484375	G	0	Bacillariophyta
1.contigs_9805004_4	162	4231107801.51563	636093724.324219	43874349.7128906	79824522.3901367	8957001.75976563	30880284.9414063	15939544.2792969	E	2.6e-80	Pleurocapsales
2.contigs_926827_2	417	619478761.125	113374011.605469	2780854.3359375	5647364.6171875	1388071.578125	6757884.84375	4518536.9609375	H	1.1e-207	Pleurocapsales
2.contigs_323849_2	1307	4241597.89257813	3929594.328125	32752061.046875	13475439.203125	2923336.8359375	25287344.5742188	17848458	NA	5.2e-102	Eukaryota
3.contigs_25829439_1	316	185990302.375	34199026.53125	54181153.8828125	39288027.015625	20872262.578125	40670129.296875	100158700.257813	Z	3.8e-176	Chromadorea
1.contigs_301937_3	776	4770781.078125	2357653.41015625	1509795.66015625	4649156.984375	116381162.1875	39476836.6328125	8382336.08984375	E	1.3e-108	Alphaproteobacteria
1.contigs_7025238_3	172	320867133.53125	60686889.390625	3009077.234375	1437126.03125	1251331.73632813	1127331.26171875	757260.9921875	S	2.1e-27	Cyanobacteria
3.contigs_520960_5	516	48905812.75	2322175.25	1156430.71875	941593.4609375	249778.390625	NA	232883.109375	F	3.7e-245	Cyanobacteria
4.contigs_7618544_2	1344	11407198.1875	1475975.953125	27588669.4921875	38443021.4101563	1313387.53515625	13961771.953125	7028283.203125	G	0	Chlorophyta
4.contigs_10575951_1	576	46699516.1015625	13312859.2382813	6957165.90625	6533709.296875	974754.58984375	1850424.0859375	667677.52734375	O	4.4e-263	Nostocales
3.contigs_3163536_4	446	2171088.2265625	2936030.6953125	1698108.09375	2007467.23828125	68828573	19497502.59375	5023715.08984375	Q	6.7e-78	Cyanothece
2.contigs_1189383_1	179	3927388.90625	1619477.375	40081516.6796875	57261623.171875	2056608.7734375	95172772.8710938	49096260.8515625	NA	NA	NA
1.contigs_4934345_2	258	2893321.015625	1667164.765625	210846275.265625	287922985.449219	2311217.484375	590322385.882813	266959036.380859	O	1.7e-94	Chlorophyta
4.contigs_1347794_1	829	61809437.78125	10000700.25	2336895.7578125	1465456.37890625	1682251.1875	1094075.4765625	475361.63671875	M	0	Nostocales
1.contigs_3018634_2	641	340099095.1875	63557209.4140625	40190624.171875	65499967.53125	7570684.40625	51751794.046875	32506365.3671875	O	0	Pleurocapsales
2.contigs_450602_1	666	4364919.7578125	3260964.328125	102562307.332031	29503604.25	4366016.62109375	48967315.59375	89050218.4414063	NA	NA	NA
1.contigs_5310695_1	459	66263046.609375	31146418.21875	7150940.44140625	8390406.7265625	46012509.71875	12599204.0390625	5992307.48828125	G	1.3e-206	Bacillariophyta
2.contigs_2639580_2	488	17215090.671875	22493307.1914063	38632469.9882813	71377014.1015625	1468807.25	10059405	4236984.7578125	Q	1e-252	Bacillariophyta
3.contigs_22983386_1	430	159495957.4375	31192092.078125	3813144.57421875	3737589.63671875	3739724.50976563	5149420.0390625	4263747.1484375	G	9.6e-223	Pleurocapsales
2.contigs_4873286_4	452	2751791.125	1008299.703125	41315491.3046875	60967296.5664063	1721868.76953125	39928895.703125	21328613.0585938	H	4.2e-160	Chlorophyta
3.contigs_9643539_4	476	390696.15625	NA	269773.9375	1708167.875	NA	NA	NA	C	7.6e-229	Poales
1.contigs_6262044_2	320	186335642.875	17396787.1015625	1506136.01757813	3228822.046875	1845662.453125	3096560.11328125	2590879.54101563	S	1.7e-160	Pleurocapsales
3.contigs_17716680_3	275	128613320.984375	29644869.34375	6173257.859375	6036973.484375	426207.140625	47737598.1328125	29087149.125	S	3.5e-133	Pleurocapsales
3.contigs_18867735_2	362	NA	1178647.921875	NA	NA	4232268.4375	NA	NA	Z	1.2e-186	Eukaryota
1.contigs_1095428_4	547	179398232.015625	39945976.21875	1468127.65625	2274956.8671875	1327413.3203125	1086659.18945313	1626172.9375	E	3.4e-281	Pleurocapsales
2.contigs_580361_6	295	54083992.5585938	24062938.4492188	28060043.2539063	21735175.5644531	26039104.0097656	44301025.3300781	26319777.7265625	O	6.9e-87	Chlorophyta
3.contigs_9781339_5	540	311286152.6875	85656496.171875	1894490.53125	4066138.7109375	1043080.4921875	1391936.4296875	810054.619140625	M	1.7e-171	Pleurocapsales
2.contigs_8341905_7	210	11626037.71875	3982983.890625	106671103.9375	148968166.515625	90778.31640625	178174205.976563	93255289.40625	C	3e-92	Chlorophyta
1.contigs_10677101_3	460	70071230.015625	91142072.03125	59051547.765625	103642456.925781	37291116.75	60039508.046875	34753878.3164063	C	2.1e-220	Eukaryota
4.contigs_8515859_5	810	87780843.578125	83978318.546875	5790342.6875	13831000	64700580.59375	7675281.03125	4476221.02148438	O	0	Bacillariophyta
2.contigs_8273459_4	505	163247418.625	25703253.75	17713679.25	24055713.75	8789484.875	12320689.5	5667358.25	F	6e-240	Bacillariophyta
1.contigs_10730173_1	249	697170939.84375	67816148.25	4915878.15234375	5649751.828125	5305640	7503809.41015625	3168261.94921875	H	1.2e-121	Pleurocapsales
4.contigs_3396221_4	446	20685873.78125	8795419.125	102072136.484375	137534787.28125	2837338.984375	101198501.484375	87652148.7265625	H	5.4e-168	Chlorophyta
2.contigs_2003768_7	262	2444748.7421875	1092094.46484375	50783464.8984375	60694381.9375	1098492.41601563	70539442.375	36332701.3535156	C	7.3e-64	Viridiplantae
3.contigs_7471240_4	433	9488228.25	1591309.625	NA	132326.234375	63462.203125	100442.7734375	102308.9375	U	3.5e-241	Pleurocapsales
1.contigs_5205913_2	313	7789717.59375	157305.78125	86340.052734375	95983.29296875	NA	46820.84765625	NA	F	1.1e-156	Cyanobacteria
1.contigs_807077_2	139	30210572.9609375	218178942.492188	18062500.5742188	56380049.3046875	23003002.3554688	57134077.859375	35328697.5859375	C	1e-77	Eukaryota
4.contigs_897134_1	198	3563754.9375	1619477.375	39774272.2421875	56367717.875	2056608.7734375	91440033.6835938	47174860.6328125	NA	NA	NA
2.contigs_10823313_1	185	3563754.9375	1619477.375	39774272.2421875	56367717.875	2056608.7734375	91440033.6835938	47174860.6328125	NA	NA	NA
3.contigs_21742419_1	315	4649438	NA	NA	NA	NA	NA	NA	C	2.9e-144	Eukaryota
2.contigs_4383394_1	692	27646787.2109375	12029845.4960938	36967842.796875	52766655.25	3184962.64453125	20602262.546875	11757333.4921875	O	2.9e-285	Chlorophyta
3.contigs_7089775_2	374	44992173.9921875	130316637.328125	98000719.75	285557255.875	25683462.1914063	22139464.109375	5463008.29296875	G	8.4e-191	Eukaryota
1.contigs_1967255_2	578	88204096.0664063	93721930.2412109	31082427.7734375	32021692.7578125	95917897.0742188	34424003.7695313	19768535.484375	G	0	Sulfitobacter
3.contigs_3689619_1	247	1140961.65625	754035.9375	2695326.5	1383805.4375	1511261.28125	2625125.28125	895237.1875	Z	1.6e-100	Bacillariophyta
1.contigs_2335565_2	503	29190181.34375	3820409.7265625	190643.78125	77113.625	NA	947111.4375	482214.18359375	S	1.8e-260	Pleurocapsales
2.contigs_7623749_1	138	17501030.15625	25615472.9140625	4209672.01953125	24559135.75	2261909.671875	1891645.15625	1578778.31640625	C	2.9e-64	Eukaryota
4.contigs_5710616_2	352	4774487.1875	3947450.15625	62317476.7617188	64392222.234375	507134.0234375	80236633.78125	72712959.953125	E	1.5e-133	Viridiplantae
2.contigs_10804666_14	546	1079913.65625	NA	106835480.171875	32999778.125	414940.8515625	95938632.984375	85979314.5	NA	NA	NA
1.contigs_997814_1	427	102211743.8125	16157902.9921875	1383030.8125	1766174.40625	833756.59375	1922357.28125	538043.125	E	4.1e-226	Pleurocapsales
1.contigs_760039_3	485	90791049.3125	24374081.1308594	3112959.15625	4801902.0390625	5030408.765625	5183270.09375	3153622.15234375	F	8.5e-260	Synechococcus
4.contigs_10652765_1	599	120735027.46875	13406494.5390625	5293077.8515625	28032389.8789063	1561183.0859375	1030268.546875	403318.263671875	S	1.1e-301	Pleurocapsales
2.contigs_1799752_1	921	46360596.2910156	13291435.0039063	42545605.3671875	51674448.1679688	8527258.77539063	20142119.9921875	13051459.1601563	O	0	Chlorophyta
2.contigs_54013_4	638	2486854.84375	2369071.046875	88402639.59375	32184230.1171875	1425953.16601563	89048223.84375	71206565.171875	C	0	Chromatiales
2.contigs_1239395_15	662	4501440.171875	584999.80078125	36193587.0625	14511202.4257813	2378891.85546875	61236339.53125	41577032.09375	C	3.1e-252	Chromatiales
4.contigs_1630359_2	332	525021417.0625	94164729.6796875	5931371.18164063	8476022.83203125	3204027.890625	2632298.140625	1728317.8359375	G	6.8e-176	Pleurocapsales
1.contigs_1027292_4	474	16805028.7265625	8552349.15625	3053069.484375	4348746.671875	35141640.8320313	17821704.75	9342840.59375	C	1.9e-235	Ruegeria
2.contigs_1831393_1	657	97459686.96875	22403544.5351563	40592367.8125	72933385.703125	1531319.69726563	98861816.5625	49064261.796875	O	3e-276	Chlorophyta
3.contigs_10502139_1	743	16056891.953125	19048829.1210938	4504594.9765625	12302622.1484375	16351999.40625	9149028.890625	3947931.05078125	G	0	Bacillariophyta
1.contigs_23767_2	379	414773162.617188	66583916.3984375	887003.03125	1603009.4921875	828591.4609375	366220.328125	NA	E	3.4e-195	Pleurocapsales
3.contigs_20425451_3	438	24534613.421875	8353329.484375	4431398.9765625	7152925.546875	18650350.0078125	1984755.39453125	455576.8984375	G	5.4e-197	Bacillariophyta
2.contigs_891966_5	484	NA	99122.5234375	279323.26171875	1310920.4609375	NA	NA	NA	C	6.3e-263	Oscillatoriales
1.contigs_3594718_44	508	5355233.85546875	3394697.91015625	81865006.4375	39334683.3847656	3233679.18554688	51806537.6171875	40862645.7207031	C	1.5e-259	Chlorophyta
2.contigs_3487567_1	471	137783952.59375	32854261.53125	9701003.80078125	8913984.625	8908861	2005669.078125	1071771.2734375	G	4e-262	Oscillatoriales
1.contigs_740015_1	648	201546260.328125	50948136.859375	1414535.8359375	1920217.25	2436318.1875	6098772.09375	3366436.46875	NU	1.9e-235	Pleurocapsales
1.contigs_8952623_8	578	43414568.0625	39869084.5703125	10186140.6484375	9666653.671875	26099620.28125	11339550.296875	7188282.15625	G	0	Sulfitobacter
1.contigs_6276196_3	484	1063765187.77344	210896935.335938	45134180.5625	22215553	7253393.46875	1432283.3671875	681318.875	H	2.8e-271	Cyanothece
4.contigs_7040525_2	427	153089539.375	22343114.2070313	1619638.9140625	3094255.484375	2348606.8046875	448365.1796875	942116.015625	E	4.6e-209	Pleurocapsales
2.contigs_5323625_3	485	21107183.625	6404766	9614580.34375	12212933.75	5664031.0625	8871127.0625	7254420.546875	C	1.7e-236	Oscillatoriales
